manufacturer,part_number,part_type,length,width,height,CSA,UL,preference,description,tag
ALLEN BRADLEY,1756-OV16E,Cable,,,,1,1,2,10-30 VDC Elec Fused Sinking Output 16 Pts,
ALLEN BRADLEY,1756-IA16,Cable,,,,1,1,2,Input Card,
ALLEN BRADLEY,843E-MIP4BA1,Cable,,,,1,1,2,EIP Encoder,
BELDEN,B5502FE-U1000,Cable,,,,1,1,2,"Multi-Cond 22AWG 4C Overall Shield, Gray",
BELDEN,B5502FE-U1000 Box,Cable,,,,1,1,2,"4C 22AWG Overall Shield (1,000 ft / Box)",
LAPP,221004,Cable,,,,1,1,2,LAPP Tray Cable Multi 10G 4C,
LAPP,221204,Cable,,,,1,1,2,LAPP Tray Cable Multi 12G 4C,
LAPP,221204,Cable,,,,1,1,2,LAPP Tray Cable Multi 12G 4C,
LAPP,221403,Cable,,,,1,1,2,LAPP Tray Cable Multi 14G 3C,
LAPP,221403,Cable,,,,1,1,2,LAPP Tray Cable Multi 14G 3C,
LAPP,221404,Cable,,,,1,1,2,LAPP Tray Cable Multi 14G 4C,
LAPP,221404,Cable,,,,1,1,2,LAPP Tray Cable Multi 14G 4C,
LAPP,221404-1,Cable,,,,1,1,2,Oil-Resistant  Flexible Tray Cable Unshielded 14 AWG (2.50 mm x 2.50 mm)/4c,
LAPP,221407,Cable,,,,1,1,2,LAPP Tray Cable Multi 14G 7C,
LAPP,221603,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 3C,
LAPP,221603,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 3C,
LAPP,221603-1,Cable,,,,1,1,2,Oil-Resistant  Flexible Tray Cable Unshielded 16 AWG (1.50 mm x 1.50 mm)/3c,
LAPP,221605,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 5C,
LAPP,221605,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 5C,
LAPP,221609,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 9C,
LAPP,221609,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 9C,
LAPP,221612,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 12C,
LAPP,221612,Cable,,,,1,1,2,Oil-Resistant  Flexible Tray Cable Unshielded 16 AWG (1.50 mm x 1.50 mm)/12c,
LAPP,221618,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 18C,
LAPP,221625,Cable,,,,1,1,2,LAPP Tray Cable Multi 16G 25C,
LAPP,221625,Cable,,,,1,1,2,Oil-Resistant  Flexible Tray Cable Unshielded 16 AWG (1.50 mm x 1.50 mm)/25c,
LAPP,221825,Cable,,,,1,1,2,LAPP Tray Cable Multi 18G 25C,
LAPP,2FL-1204O,Cable,,,,1,1,2,LAPP Multi-Conductor 12G 4C,
LAPP,2FL-1603O,Cable,,,,1,1,2,LAPP Multi-Conductor 16G 3C,
LAPP,2FL-1609O,Cable,,,,1,1,2,LAPP Multi-Conductor 19G 9C,
N/A,314-023-1812-FR,Cable,,,,1,1,2,"18-12C STR TNC SR-PVC, Grey",
N/A,314-023-1825-FR,Cable,,,,1,1,2,"18-25C STR TNC SR-PVC, Grey",
N/A,316-035-2212-FR,Cable,,,,1,1,2,"22AWG 12C Overall Shield, Grey",
N/A,SOOW4C12,Cable,,,,1,1,2,4 Conductor 12AWG Cable,
PHOENIX CONTACT,1403929,Cable,,,,1,1,2,"Patchcord RJ45 Male / RJ45 Male, 4-Conductor, Teal TPE, Flex Rated, 2 meters (6.56 feet)",
PHOENIX CONTACT,1403933,Cable,,,,1,1,2,"Patchcord RJ45 Male / RJ45 Male, 4-Conductor, Teal TPE, Flex Rated, 5 meters",
